                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5182,                 2.1988,                 1.3834,                0.31247,                0.28029,                0.22946,                0.12336,                 1.7968,                 2.3818,                 1.6367,             0.00066583,             0.00066583,             0.00066583
                      2,                 1.6734,                  2.191,                 1.5193,                0.30836,                0.26131,                0.22307,                0.12034,                 1.6945,                 2.3923,                 1.5558,              0.0012885,              0.0012885,              0.0012885
                      3,                 1.6745,                 2.1908,                  1.528,                0.37828,                0.26873,                0.24825,                0.13598,                 1.7273,                 2.2166,                 1.6128,              0.0018672,              0.0018672,              0.0018672
                      4,                  1.646,                 2.1408,                 1.5174,                0.36267,                0.27359,                 0.2434,                0.13724,                 1.7191,                 2.2268,                 1.6196,               0.001802,               0.001802,               0.001802
                      5,                 1.5949,                 2.0499,                 1.4795,                0.41209,                0.32105,                  0.311,                0.17812,                 1.5717,                 1.9576,                 1.4944,               0.001802,               0.001802,               0.001802
                      6,                 1.5579,                 1.9914,                 1.4549,                0.40858,                0.33389,                0.31349,                0.17877,                 1.5668,                 1.9505,                 1.4641,               0.001736,               0.001736,               0.001736
                      7,                 1.5326,                  1.935,                 1.4306,                0.45215,                0.34506,                0.34882,                0.20354,                 1.5492,                 1.8748,                 1.4534,                0.00167,                0.00167,                0.00167
                      8,                 1.5042,                 1.8877,                 1.4194,                0.46761,                0.37688,                0.37404,                0.22103,                 1.4974,                 1.8337,                 1.4272,               0.001604,               0.001604,               0.001604
                      9,                 1.4822,                 1.8479,                 1.4044,                0.46979,                0.36628,                0.36868,                0.22466,                  1.476,                 1.8091,                 1.4082,               0.001538,               0.001538,               0.001538
                     10,                 1.4628,                 1.8174,                 1.3879,                0.50964,                0.35008,                 0.3849,                0.23106,                 1.4446,                 1.8049,                 1.3972,               0.001472,               0.001472,               0.001472
                     11,                 1.4438,                 1.7832,                 1.3728,                0.51622,                0.38247,                0.40363,                0.24586,                 1.4299,                 1.7147,                 1.3656,               0.001406,               0.001406,               0.001406
                     12,                 1.4337,                 1.7584,                 1.3677,                0.55987,                0.36013,                0.40445,                0.24495,                 1.4214,                 1.7263,                 1.3666,                0.00134,                0.00134,                0.00134
                     13,                 1.4118,                 1.7224,                 1.3521,                0.53867,                0.36516,                0.39847,                0.24612,                 1.4169,                 1.7071,                 1.3445,               0.001274,               0.001274,               0.001274
                     14,                 1.4016,                 1.7063,                 1.3457,                0.52824,                0.39513,                0.42874,                0.26399,                 1.4064,                 1.6364,                 1.3408,               0.001208,               0.001208,               0.001208
                     15,                 1.3836,                 1.6829,                 1.3351,                0.56237,                0.40201,                0.43675,                0.26894,                 1.4023,                 1.6038,                 1.3432,               0.001142,               0.001142,               0.001142
                     16,                  1.378,                 1.6572,                 1.3308,                0.51201,                0.41429,                0.43137,                0.26464,                 1.4074,                 1.6479,                 1.3488,               0.001076,               0.001076,               0.001076
                     17,                 1.3592,                 1.6338,                 1.3158,                0.55681,                0.39698,                0.43722,                0.27621,                  1.353,                 1.5993,                 1.3131,                0.00101,                0.00101,                0.00101
                     18,                 1.3612,                 1.6201,                 1.3123,                0.52562,                0.42546,                0.44191,                0.28127,                 1.3741,                 1.5765,                 1.3125,               0.000944,               0.000944,               0.000944
                     19,                 1.3446,                 1.5826,                 1.3045,                 0.5535,                0.41932,                0.45904,                0.28884,                 1.3465,                 1.5499,                 1.2966,               0.000878,               0.000878,               0.000878
                     20,                 1.3336,                 1.5726,                 1.2958,                0.59189,                0.41374,                0.46695,                0.29633,                 1.3363,                 1.5102,                 1.2846,               0.000812,               0.000812,               0.000812
                     21,                 1.3302,                 1.5279,                 1.2952,                 0.5452,                0.43216,                0.46697,                0.29489,                   1.33,                 1.5246,                 1.2856,               0.000746,               0.000746,               0.000746
                     22,                 1.3083,                 1.5056,                 1.2858,                0.57223,                 0.4383,                0.47431,                0.29888,                 1.3356,                 1.5109,                 1.2921,                0.00068,                0.00068,                0.00068
                     23,                 1.2962,                 1.4661,                 1.2746,                0.55094,                0.45418,                0.47782,                0.30264,                 1.3412,                 1.4948,                 1.2858,               0.000614,               0.000614,               0.000614
                     24,                 1.2813,                  1.438,                  1.271,                0.56385,                0.44668,                0.47933,                0.30134,                 1.3418,                 1.4896,                 1.2982,               0.000548,               0.000548,               0.000548
                     25,                   1.27,                  1.411,                 1.2567,                 0.5765,                0.43216,                0.48211,                0.30815,                 1.3312,                 1.4649,                 1.2839,               0.000482,               0.000482,               0.000482
                     26,                 1.2601,                 1.3922,                 1.2498,                 0.5729,                0.43813,                0.48322,                0.30668,                  1.321,                 1.4906,                 1.2867,               0.000416,               0.000416,               0.000416
                     27,                 1.2437,                 1.3589,                 1.2408,                0.56039,                0.46064,                0.48602,                0.31237,                 1.3158,                  1.469,                 1.2798,                0.00035,                0.00035,                0.00035
                     28,                 1.2357,                 1.3427,                 1.2343,                 0.5738,                0.46064,                 0.4935,                0.31456,                 1.3265,                 1.4632,                 1.2859,               0.000284,               0.000284,               0.000284
                     29,                 1.2223,                 1.3172,                 1.2283,                0.56321,                0.46008,                0.48723,                0.31255,                 1.3254,                 1.4611,                 1.2887,               0.000218,               0.000218,               0.000218
                     30,                 1.2184,                 1.3062,                 1.2228,                0.55788,                0.47557,                0.49133,                0.31464,                 1.3295,                 1.4622,                 1.2853,               0.000152,               0.000152,               0.000152
