                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4088,                 3.6312,                 0.3778,                 1.3221,                 1.3502,                 0.7156,                0.51254,                0.59104,                0.36006,                0.63476,                0.32779,                0.31943,                0.12141,                 1.4329,                 2.8908,                0.34667,                 1.2596,                 1.3372,               0.067013,              0.0003332,              0.0003332
                      2,                 1.4484,                 3.7673,                0.38331,                 1.3709,                 1.3803,                0.70745,                0.51454,                0.58999,                0.34884,                0.59583,                0.31978,                0.27851,                0.10684,                 1.4218,                 2.9036,                0.35354,                 1.2601,                   1.36,                0.03398,             0.00063354,             0.00063354
                      3,                 1.4506,                  3.778,                0.38093,                 1.3811,                 1.3937,                0.71291,                0.51618,                0.60006,                0.36137,                 0.6155,                0.31125,                  0.295,                0.11187,                 1.4224,                 2.9684,                0.34113,                 1.2433,                 1.3524,             0.00091421,             0.00090088,             0.00090088
                      4,                 1.4297,                 3.7291,                0.37685,                 1.3554,                 1.3767,                0.71218,                0.54153,                0.61863,                0.37861,                0.62617,                0.32643,                0.31395,                0.12551,                 1.3847,                 2.8509,                0.33198,                 1.1942,                 1.3184,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.4189,                 3.6648,                 0.3697,                 1.3369,                 1.3702,                0.71387,                0.53577,                0.61703,                0.37357,                0.62156,                0.32613,                0.30602,                0.12812,                 1.3858,                 2.8222,                0.32706,                 1.1817,                 1.3225,              0.0008515,              0.0008515,              0.0008515
                      6,                 1.3815,                 3.5493,                0.36792,                 1.2921,                 1.3411,                0.72557,                 0.5458,                 0.6319,                0.39467,                0.63516,                 0.3426,                0.32793,                0.14171,                 1.3311,                 2.6982,                0.32378,                 1.1526,                 1.2914,               0.000802,               0.000802,               0.000802
                      7,                 1.3561,                 3.4932,                0.36181,                 1.2659,                 1.3342,                0.73737,                 0.5498,                0.64067,                0.40321,                0.64319,                0.35214,                0.34151,                0.14988,                 1.3029,                   2.65,                0.31909,                 1.1247,                 1.2715,              0.0007525,              0.0007525,              0.0007525
                      8,                 1.3474,                  3.417,                0.35551,                 1.2429,                 1.3234,                0.72338,                0.56189,                0.64056,                0.40228,                0.63123,                0.34278,                0.33181,                0.15006,                 1.3014,                 2.5933,                 0.3074,                 1.1113,                 1.2704,               0.000703,               0.000703,               0.000703
                      9,                  1.327,                 3.3187,                0.34972,                 1.2219,                 1.3139,                0.74408,                0.56089,                0.65008,                 0.4112,                0.64568,                0.35133,                0.34914,                0.16542,                  1.289,                  2.515,                0.32072,                 1.0799,                 1.2527,              0.0006535,              0.0006535,              0.0006535
                     10,                 1.3125,                 3.2956,                0.34392,                  1.204,                    1.3,                0.74101,                0.57197,                0.65864,                0.42092,                0.65496,                0.36269,                0.35765,                0.16844,                 1.2646,                 2.4663,                0.30503,                  1.053,                 1.2452,               0.000604,               0.000604,               0.000604
